file,label,group,color,number
68_1_0019.wav,ER,9,Lime,841
68_1_0020.wav,AH,3,Black,842
68_1_0021.wav,ER,9,Lime,843
68_1_0022.wav,AA,1,Red,844
68_2_0001.wav,IY,13,Pink,845
68_2_0002.wav,AA,1,Red,846
68_2_0003.wav,IY,13,Pink,847
68_2_0004.wav,AH,3,Black,848
68_2_0005.wav,AO,4,Green,849
68_2_0006.wav,AE,2,Blue,850
68_2_0007.wav,IH,11,Teal,851
68_2_0008.wav,EY,10,Purple,852
68_2_0009.wav,AE,2,Blue,853
68_2_0010.wav,AH,3,Black,854
68_2_0011.wav,IH,11,Teal,855
68_2_0012.wav,OY,15,Grey,856
68_2_0013.wav,AA,1,Red,857
68_2_0014.wav,AH,3,Black,858
68_2_0015.wav,IH,11,Teal,859
68_3_0001.wav,IY,13,Pink,860
68_3_0002.wav,AH,3,Black,861
68_3_0003.wav,UW,17,Cyan,862
68_3_0004.wav,IY,13,Pink,863
68_3_0005.wav,IH,11,Teal,864
68_3_0006.wav,IH,11,Teal,865
68_3_0007.wav,AH,3,Black,866
68_3_0008.wav,IY,13,Pink,867
68_3_0009.wav,EH,8,Black,868
68_3_0010.wav,AE,2,Blue,869
68_3_0011.wav,AH,3,Black,870
68_3_0012.wav,IY,13,Pink,871
68_3_0013.wav,OW,14,Maroon,872
68_3_0014.wav,IY,13,Pink,873
68_3_0015.wav,ER,9,Lime,874
68_3_0016.wav,EH,8,Black,875
68_3_0017.wav,EY,10,Purple,876
68_3_0018.wav,AE,2,Blue,877
68_3_0019.wav,EY,10,Purple,878
68_3_0020.wav,EY,10,Purple,879
68_3_0021.wav,AH,3,Black,880
86_0_0001.wav,IY,13,Pink,881
86_0_0002.wav,AA,1,Red,882
86_0_0003.wav,EH,8,Black,883
86_0_0004.wav,AH,3,Black,884
86_0_0005.wav,AE,2,Blue,885
86_0_0006.wav,ER,9,Lime,886
86_0_0007.wav,AH,3,Black,887
86_0_0008.wav,IH,11,Teal,888
86_0_0009.wav,IY,13,Pink,889
86_0_0010.wav,IH,11,Teal,890
86_0_0011.wav,IH,11,Teal,891
86_0_0012.wav,ER,9,Lime,892
86_0_0013.wav,ER,9,Lime,893
86_0_0014.wav,AH,3,Black,894
86_0_0015.wav,AO,4,Green,895
86_0_0016.wav,IH,11,Teal,896
86_0_0017.wav,UW,17,Cyan,897
86_0_0018.wav,AH,3,Black,898
86_0_0019.wav,EH,8,Black,899
86_0_0020.wav,OW,14,Maroon,900
86_0_0021.wav,IY,13,Pink,901
86_0_0022.wav,AY,7,Magenta,902
86_0_0023.wav,IH,11,Teal,903
86_0_0024.wav,AE,2,Blue,904
86_0_0025.wav,AH,3,Black,905
86_0_0026.wav,UW,17,Cyan,906
86_0_0027.wav,IY,13,Pink,907
86_0_0028.wav,AE,2,Blue,908
86_0_0029.wav,EY,10,Purple,909
86_0_0030.wav,IY,13,Pink,910
86_0_0031.wav,AH,3,Black,911
86_0_0032.wav,AE,2,Blue,912
86_0_0033.wav,ER,9,Lime,913
86_0_0034.wav,ER,9,Lime,914
86_0_0035.wav,AH,3,Black,915
86_0_0036.wav,ER,9,Lime,916
86_0_0037.wav,AA,1,Red,917
86_0_0038.wav,IY,13,Pink,918
86_0_0039.wav,AA,1,Red,919
86_0_0040.wav,OW,14,Maroon,920
86_0_0041.wav,IY,13,Pink,921
86_0_0042.wav,AH,3,Black,922
86_0_0043.wav,AO,4,Green,923
86_0_0044.wav,AE,2,Blue,924
86_0_0045.wav,IH,11,Teal,925
86_0_0046.wav,EY,10,Purple,926
86_0_0047.wav,AH,3,Black,927
86_0_0048.wav,IH,11,Teal,928
86_0_0049.wav,OY,15,Grey,929
86_0_0050.wav,AA,1,Red,930
86_0_0051.wav,ER,9,Lime,931
86_0_0052.wav,AH,3,Black,932
86_0_0053.wav,IH,11,Teal,933
86_0_0054.wav,IY,13,Pink,934
86_0_0055.wav,AH,3,Black,935
86_0_0056.wav,UW,17,Cyan,936
86_0_0057.wav,IY,13,Pink,937
86_0_0058.wav,IH,11,Teal,938
86_0_0059.wav,IH,11,Teal,939
86_0_0060.wav,AH,3,Black,940
86_0_0061.wav,IY,13,Pink,941
86_0_0062.wav,EH,8,Black,942
86_0_0063.wav,AE,2,Blue,943
86_0_0064.wav,AE,2,Blue,944
86_0_0065.wav,IY,13,Pink,945
86_0_0066.wav,OW,14,Maroon,946
86_0_0067.wav,IY,13,Pink,947
86_0_0068.wav,ER,9,Lime,948
86_0_0069.wav,EH,8,Black,949
86_0_0070.wav,IY,13,Pink,950
86_0_0071.wav,AE,2,Blue,951
86_0_0072.wav,AH,3,Black,952
86_0_0073.wav,EY,10,Purple,953
86_0_0074.wav,EY,10,Purple,954
95_1_0001.wav,IY,13,Pink,955
95_1_0002.wav,AA,1,Red,956
95_1_0003.wav,EH,8,Black,957
95_1_0004.wav,AH,3,Black,958
95_1_0005.wav,AE,2,Blue,959
95_1_0006.wav,ER,9,Lime,960
95_1_0007.wav,UW,17,Cyan,961
95_1_0008.wav,IH,11,Teal,962
95_1_0009.wav,IY,13,Pink,963
95_1_0010.wav,IH,11,Teal,964
95_1_0011.wav,IH,11,Teal,965
95_1_0012.wav,ER,9,Lime,966
95_1_0013.wav,ER,9,Lime,967
95_1_0014.wav,AO,4,Green,968
95_1_0015.wav,IH,11,Teal,969
95_1_0016.wav,UW,17,Cyan,970
95_1_0017.wav,AH,3,Black,971
95_1_0018.wav,EH,8,Black,972
95_1_0019.wav,OW,14,Maroon,973
95_1_0020.wav,IY,13,Pink,974
95_1_0021.wav,AY,7,Magenta,975
95_1_0022.wav,IH,11,Teal,976
95_1_0023.wav,AE,2,Blue,977
95_1_0024.wav,AH,3,Black,978
95_1_0025.wav,UW,17,Cyan,979
95_1_0026.wav,IY,13,Pink,980
95_1_0027.wav,AE,2,Blue,981
95_1_0028.wav,EY,10,Purple,982
95_1_0029.wav,IY,13,Pink,983
95_1_0030.wav,AH,3,Black,984
95_1_0031.wav,AE,2,Blue,985
95_1_0032.wav,ER,9,Lime,986
95_1_0033.wav,ER,9,Lime,987
95_1_0034.wav,AH,3,Black,988
95_1_0035.wav,ER,9,Lime,989
95_1_0036.wav,AA,1,Red,990
95_1_0037.wav,IY,13,Pink,991
95_1_0038.wav,AA,1,Red,992
95_1_0039.wav,OW,14,Maroon,993
95_1_0040.wav,IY,13,Pink,994
95_1_0041.wav,AH,3,Black,995
95_1_0042.wav,AA,1,Red,996
95_1_0043.wav,AE,2,Blue,997
95_1_0044.wav,IH,11,Teal,998
95_1_0045.wav,EY,10,Purple,999
95_1_0046.wav,AH,3,Black,1000
95_1_0047.wav,AH,3,Black,1001
95_1_0048.wav,IH,11,Teal,1002
95_1_0049.wav,OY,15,Grey,1003
95_1_0050.wav,AA,1,Red,1004
95_1_0051.wav,ER,9,Lime,1005
95_1_0052.wav,AH,3,Black,1006
95_1_0053.wav,IH,11,Teal,1007
95_1_0054.wav,IY,13,Pink,1008
95_1_0055.wav,AH,3,Black,1009
95_1_0056.wav,UW,17,Cyan,1010
95_1_0057.wav,IY,13,Pink,1011
95_1_0058.wav,IH,11,Teal,1012
95_1_0059.wav,IH,11,Teal,1013
95_1_0060.wav,UW,17,Cyan,1014
95_1_0061.wav,IY,13,Pink,1015
95_1_0062.wav,EH,8,Black,1016
95_1_0063.wav,AE,2,Blue,1017
95_1_0064.wav,AE,2,Blue,1018
95_1_0065.wav,IY,13,Pink,1019
95_1_0066.wav,OW,14,Maroon,1020
95_1_0067.wav,IY,13,Pink,1021
95_1_0068.wav,ER,9,Lime,1022
95_1_0069.wav,EH,8,Black,1023
95_1_0070.wav,EY,10,Purple,1024
95_1_0071.wav,AE,2,Blue,1025
95_1_0072.wav,AH,3,Black,1026
95_1_0073.wav,EY,10,Purple,1027
95_1_0074.wav,EY,10,Purple,1028
95_1_0075.wav,AH,3,Black,1029
96_0_0001.wav,IY,13,Pink,1030
96_0_0002.wav,AA,1,Red,1031
96_0_0003.wav,EH,8,Black,1032
96_0_0004.wav,AH,3,Black,1033
96_0_0005.wav,AE,2,Blue,1034
96_0_0006.wav,ER,9,Lime,1035
96_0_0007.wav,AH,3,Black,1036
96_0_0008.wav,IH,11,Teal,1037
96_0_0009.wav,IY,13,Pink,1038
96_0_0010.wav,IH,11,Teal,1039
96_0_0011.wav,ER,9,Lime,1040
96_0_0012.wav,AO,4,Green,1041
96_0_0013.wav,IH,11,Teal,1042
96_0_0014.wav,AH,3,Black,1043
96_0_0015.wav,EH,8,Black,1044
96_0_0016.wav,OW,14,Maroon,1045
96_0_0017.wav,IY,13,Pink,1046
96_0_0018.wav,AY,7,Magenta,1047
96_0_0019.wav,IH,11,Teal,1048
96_0_0020.wav,AE,2,Blue,1049
96_0_0021.wav,AH,3,Black,1050
96_0_0022.wav,UW,17,Cyan,1051
96_0_0023.wav,IY,13,Pink,1052
96_0_0024.wav,AE,2,Blue,1053
96_0_0025.wav,EY,10,Purple,1054
96_0_0026.wav,IY,13,Pink,1055
96_0_0027.wav,AH,3,Black,1056
96_0_0028.wav,AE,2,Blue,1057
96_0_0029.wav,ER,9,Lime,1058
96_0_0030.wav,ER,9,Lime,1059
96_0_0031.wav,AH,3,Black,1060
96_0_0032.wav,ER,9,Lime,1061
96_0_0033.wav,AA,1,Red,1062
96_0_0034.wav,IY,13,Pink,1063
96_0_0035.wav,AA,1,Red,1064
96_0_0036.wav,IY,13,Pink,1065
96_0_0037.wav,AH,3,Black,1066
96_0_0038.wav,AA,1,Red,1067
96_0_0039.wav,IH,11,Teal,1068
96_0_0040.wav,EY,10,Purple,1069
96_0_0041.wav,AE,2,Blue,1070
96_0_0042.wav,AH,3,Black,1071
96_0_0043.wav,IH,11,Teal,1072
96_0_0044.wav,OY,15,Grey,1073
96_0_0045.wav,AA,1,Red,1074
96_0_0046.wav,ER,9,Lime,1075
96_0_0047.wav,IH,11,Teal,1076
96_0_0048.wav,IY,13,Pink,1077
96_0_0049.wav,AH,3,Black,1078
96_0_0050.wav,UW,17,Cyan,1079
96_0_0051.wav,IY,13,Pink,1080
96_0_0052.wav,IH,11,Teal,1081
96_0_0053.wav,IH,11,Teal,1082
96_0_0054.wav,AH,3,Black,1083
96_0_0055.wav,IY,13,Pink,1084
96_0_0056.wav,EH,8,Black,1085
96_0_0057.wav,AE,2,Blue,1086
96_0_0058.wav,AE,2,Blue,1087
96_0_0059.wav,OW,14,Maroon,1088
96_0_0060.wav,IY,13,Pink,1089
96_0_0061.wav,ER,9,Lime,1090
96_0_0062.wav,EH,8,Black,1091
96_0_0063.wav,EY,10,Purple,1092
96_0_0064.wav,AE,2,Blue,1093
96_0_0065.wav,AH,3,Black,1094
96_0_0066.wav,EY,10,Purple,1095
96_0_0067.wav,EY,10,Purple,1096
